,MeshID,Vertice1,Vertice2,Vertice3
1,1,405,428,421
2,1,428,405,408
3,1,410,421,429
4,1,421,410,405
5,1,415,429,432
6,1,429,415,410
7,1,423,432,437
8,1,432,423,415
9,1,378,408,405
10,1,408,378,380
11,1,382,405,410
12,1,405,382,378
13,1,384,410,415
14,1,410,384,382
15,1,389,415,423
16,1,415,389,384
17,1,334,380,378
18,1,380,334,336
19,1,338,378,382
20,1,378,338,334
21,1,340,382,384
22,1,382,340,338
23,1,347,384,389
24,1,384,347,340
25,1,252,336,334
26,1,336,252,251
27,1,250,334,338
28,1,334,250,252
29,1,249,338,340
30,1,338,249,250
31,1,247,340,347
32,1,340,247,249
33,1,189,251,252
34,1,251,189,182
35,1,190,252,250
36,1,252,190,189
37,1,187,250,249
38,1,250,187,190
39,1,179,249,247
40,1,249,179,187
41,1,147,182,189
42,1,182,147,144
43,1,145,189,190
44,1,189,145,147
45,1,142,190,187
46,1,190,142,145
47,1,137,187,179
48,1,187,137,142
49,1,121,144,147
50,1,144,121,115
51,1,117,147,145
52,1,147,117,121
53,1,111,145,142
54,1,145,111,117
55,1,103,142,137
56,1,142,103,111
57,1,106,115,121
58,1,115,106,99
59,1,98,121,117
60,1,121,98,106
61,1,95,117,111
62,1,117,95,98
63,1,91,111,103
64,1,111,91,95
65,1,122,99,106
66,1,99,122,119
67,1,118,106,98
68,1,106,118,122
69,1,112,98,95
70,1,98,112,118
71,1,105,95,91
72,1,95,105,112
73,1,149,119,122
74,1,119,149,148
75,1,146,122,118
76,1,122,146,149
77,1,143,118,112
78,1,118,143,146
79,1,139,112,105
80,1,112,139,143
81,1,193,148,149
82,1,148,193,192
83,1,191,149,146
84,1,149,191,193
85,1,188,146,143
86,1,146,188,191
87,1,181,143,139
88,1,143,181,188
89,1,275,192,193
90,1,192,275,276
91,1,277,193,191
92,1,193,277,275
93,1,278,191,188
94,1,191,278,277
95,1,281,188,181
96,1,188,281,278
97,1,335,276,275
98,1,276,335,337
99,1,339,275,277
100,1,275,339,335
101,1,341,277,278
102,1,277,341,339
103,1,349,278,281
104,1,278,349,341
105,1,379,337,335
106,1,337,379,381
107,1,383,335,339
108,1,335,383,379
109,1,385,339,341
110,1,339,385,383
111,1,391,341,349
112,1,341,391,385
113,1,406,381,379
114,1,381,406,409
115,1,411,379,383
116,1,379,411,406
117,1,416,383,385
118,1,383,416,411
119,1,425,385,391
120,1,385,425,416
121,1,421,409,406
122,1,409,421,428
123,1,429,406,411
124,1,406,429,421
125,1,432,411,416
126,1,411,432,429
127,1,437,416,425
128,1,416,437,432
129,1,438,437,443
130,1,437,438,423
131,1,452,443,459
132,1,443,452,438
133,1,457,459,463
134,1,459,457,452
135,1,460,463,464
136,1,463,460,457
137,1,399,423,438
138,1,423,399,389
139,1,413,438,452
140,1,438,413,399
141,1,426,452,457
142,1,452,426,413
143,1,430,457,460
144,1,457,430,426
145,1,354,389,399
146,1,389,354,347
147,1,358,399,413
148,1,399,358,354
149,1,364,413,426
150,1,413,364,358
151,1,368,426,430
152,1,426,368,364
153,1,244,347,354
154,1,347,244,247
155,1,242,354,358
156,1,354,242,244
157,1,240,358,364
158,1,358,240,242
159,1,239,364,368
160,1,364,239,240
161,1,172,247,244
162,1,247,172,179
163,1,168,244,242
164,1,244,168,172
165,1,162,242,240
166,1,242,162,168
167,1,158,240,239
168,1,240,158,162
169,1,127,179,172
170,1,179,127,137
171,1,113,172,168
172,1,172,113,127
173,1,100,168,162
174,1,168,100,113
